Unnamed: 0,SystemCodeNumber,Capacity,Occupancy,LastUpdatedDate,LastUpdatedTime,IsSpecialDay,VehicleType,Latitude,Longitude,TrafficConditionNearby,QueueLength,Timestamp
0,BHMBCCMKT01,577,61,04-10-2016,07:59:42,0,car,28.5,77.15,low,2,2016-10-04 07:59:42
1,BHMBCCMKT01,577,64,04-10-2016,08:25:42,0,car,28.5,77.15,average,2,2016-10-04 08:25:42
2,BHMBCCMKT01,577,80,04-10-2016,08:59:42,0,car,28.5,77.15,low,2,2016-10-04 08:59:42
3,BHMBCCMKT01,577,107,04-10-2016,09:32:46,0,car,28.5,77.15,low,3,2016-10-04 09:32:46
4,BHMBCCMKT01,577,150,04-10-2016,09:59:48,0,car,28.5,77.15,low,3,2016-10-04 09:59:48
5,BHMBCCMKT01,577,177,04-10-2016,10:26:49,0,car,28.5,77.15,low,4,2016-10-04 10:26:49
6,BHMBCCMKT01,577,219,04-10-2016,10:59:48,0,bike,28.5,77.15,average,6,2016-10-04 10:59:48
7,BHMBCCMKT01,577,247,04-10-2016,11:25:47,0,car,28.5,77.15,average,7,2016-10-04 11:25:47
8,BHMBCCMKT01,577,259,04-10-2016,11:59:44,0,car,28.5,77.15,average,6,2016-10-04 11:59:44
9,BHMBCCMKT01,577,266,04-10-2016,12:29:45,0,bike,28.5,77.15,high,10,2016-10-04 12:29:45
10,BHMBCCMKT01,577,269,04-10-2016,13:02:48,0,car,28.5,77.15,high,9,2016-10-04 13:02:48
11,BHMBCCMKT01,577,263,04-10-2016,13:29:45,0,car,28.5,77.15,high,9,2016-10-04 13:29:45
12,BHMBCCMKT01,577,238,04-10-2016,14:02:47,0,car,28.5,77.15,average,5,2016-10-04 14:02:47
13,BHMBCCMKT01,577,215,04-10-2016,14:29:49,0,car,28.5,77.15,average,4,2016-10-04 14:29:49
14,BHMBCCMKT01,577,192,04-10-2016,14:57:13,0,car,28.5,77.15,average,4,2016-10-04 14:57:13
15,BHMBCCMKT01,577,165,04-10-2016,15:30:14,0,cycle,28.5,77.15,average,3,2016-10-04 15:30:14
16,BHMBCCMKT01,577,162,04-10-2016,16:04:12,0,car,28.5,77.15,low,2,2016-10-04 16:04:12
17,BHMBCCMKT01,577,143,04-10-2016,16:31:14,0,car,28.5,77.15,low,2,2016-10-04 16:31:14
18,BHMBCCMKT01,577,54,05-10-2016,07:57:17,0,cycle,28.5,77.15,low,1,2016-10-05 07:57:17
19,BHMBCCMKT01,577,59,05-10-2016,08:30:15,0,bike,28.5,77.15,average,2,2016-10-05 08:30:15
20,BHMBCCMKT01,577,71,05-10-2016,09:04:19,0,car,28.5,77.15,low,3,2016-10-05 09:04:19
21,BHMBCCMKT01,577,83,05-10-2016,09:30:15,0,bike,28.5,77.15,low,2,2016-10-05 09:30:15
22,BHMBCCMKT01,577,114,05-10-2016,10:04:15,0,car,28.5,77.15,low,3,2016-10-05 10:04:15
23,BHMBCCMKT01,577,128,05-10-2016,10:30:17,0,bike,28.5,77.15,average,4,2016-10-05 10:30:17
